X_mm,Y_mm,Z_mm,Shell,Sensor_ID
-11.636786657400066,-1.76482675056414e-15,5.086766781577053,CORE,1
8.980256121069152,-8.980256121069152,0.0,CORE,2
8.980256121069152,8.980256121069152,0.0,CORE,3
-2.1075120706423114,-12.28348051826163,2.4422324274286384,INNER,4
9.60029761443437,0.0,8.314101617991309,INNER,5
-12.613770587023492,-5.125855820197809e-16,1.4774273511550555,INNER,6
2.3878083262019096,8.911421992121527,8.727825014037212,INNER,7
-7.676595124241408,4.4320842614405445,9.094862087902381,INNER,8
-2.0587627551105454,12.513398888405048,0.682893972614274,INNER,9
-6.02268919317816,-6.022689193178153,9.420426198678596,INNER,10
4.093235131833378,-7.0896912156613,9.70936170003466,INNER,11
12.048277885241523,-4.016092628413841,0.0,INNER,12
12.048277885241523,4.016092628413841,0.0,INNER,13
5.831356255332023,11.265315218635022,0.6147822770625557,INNER,14
-10.202144751155734,7.468488304018138,1.194958128642902,INNER,15
7.371241689338748,-10.069303405071649,2.3587973405883993,INNER,16
-8.892802157379228,-8.89280215737922,1.7680892453218529,INNER,17
-5.151823569223612,9.95255887599563,5.974553182576307,INNER,18
9.26520360776375,6.782599783353527,5.426079826682822,INNER,19
5.660294480991451,3.2679725422929664,10.889050548660197,INNER,20
-1.6336057879815817,6.096699800285857,11.020507414573405,INNER,21
-6.100153893297397,7.470533939732922e-16,11.139035976155593,INNER,22
-1.5271157251149423,-5.699273475166355,11.246163764474172,INNER,23
4.946318543617788,-2.855758342655371,11.343217231165815,INNER,24
-6.400613644134734,6.400613644134734,8.908102489140578,INNER,25
-7.104071418804311,-5.200541219162673,9.152952545726308,INNER,26
3.898603622569065,-7.5315238510071625,9.45341410686116,INNER,27
2.3862602237904276,4.133123947685699,11.769156663815066,INNER,28
-3.2830141185885333,3.2830141185885333,11.820898298957514,INNER,29
-3.9140874421294316,-2.25979943834516,11.868581465104395,INNER,30
6.538554534075275,3.38460488172024,10.348031426293563,INNER,31
1.1393866648469728,-4.2522489226753635,11.912605807613003,INNER,32
4.290457893969303,0.0,11.95332468646596,INNER,33
4.876263192202285,-4.876263192202286,10.6646197569696,OUTER,34
2.276703268219912e-16,3.7181386009501542,12.143535125494735,OUTER,35
-3.5126980604108766,0.9412246085414664,12.168198246768567,OUTER,36
-1.7792176102890986,-3.081695298741998,12.191289463422178,OUTER,37
-3.508069737911453,4.792112380234464,11.225823161316653,OUTER,38
2.4631454541620754,-2.4631454541620768,12.212936949942934,OUTER,39
-5.070141928491977,-2.6244985849330935,11.344411311418138,OUTER,40
2.95433232317161,1.705684562058741,12.233256340771165,OUTER,41
-1.516530071341938,2.626707134770292,12.332499591358697,OUTER,42
-2.8763173458985816,-0.7707069100091553,12.345963282974198,OUTER,43
-5.372088444531122e-16,-2.924428740472426,12.3587101487938,OUTER,44
2.775010356481687,-0.7435617840072725,12.370789521885145,OUTER,45
-3.4662363631379707,-3.4662363631379676,11.715818833940721,OUTER,46
2.8276996214473167,-3.862709517168675,11.763230425220838,OUTER,47
1.4115566463035216,2.44488782915923,12.382246619136021,OUTER,48
4.091720383729158,2.1180303250866013,11.834769615137796,OUTER,49
-2.2139998363638664,1.2782534015104654,12.440027048447591,OUTER,50
-1.9272791574706853,3.7232174253391426,11.988046006452846,OUTER,51
-1.7796414458484022,-1.7796414458484002,12.44812245474944,OUTER,52
1.23913511128355,-2.1462449701856228,12.455849096064757,OUTER,53
2.357715375392431,0.6317479308188432,12.46322882565125,OUTER,54
1.47238874135158e-16,2.4045932955962726,12.470281916732013,OUTER,55
2.8809444778061306,2.8809444778061306,12.028728853523829,OUTER,56
-2.207315985064252,2.7031824558157226e-16,12.506708445553523,OUTER,57
-0.5635768853022531,-2.103297569919427,12.51193511918616,OUTER,58
-2.965406688020889,-2.170828360735841,12.156638820120712,OUTER,59
1.860616715436872,-1.0742275615161967,12.516954125677534,OUTER,60
1.6292498576958638,-3.147469030052451,12.195449299064741,OUTER,61
1.4991863885462846,1.4991863885462844,12.521776245596913,OUTER,62
-1.0463045784836211,1.8122526901255702,12.526411573797853,OUTER,63
-1.6809869946543772,-0.970518293867964,12.55079188597558,OUTER,64
0.4963784644976259,-1.8525096492881676,12.55435448038955,OUTER,65
1.8952223880177113,0.0,12.557791688826361,OUTER,66
2.2877255838965596,-2.28772558389656,12.280986251338703,OUTER,67
2.5606954293720547,1.8745591570097455,12.297108069983931,OUTER,68
0.484796003206254,1.8092833152720644,12.561109294976832,OUTER,69
-1.408485785091916,2.720985591562632,12.324869378768383,OUTER,70
-1.603444340270075,0.9257490214855095,12.564312754658507,OUTER,71
-2.5472246647736814,-1.3185405107966255,12.371867176322125,OUTER,72
-0.8657694641826087,-1.4995566996059597,12.581405841143342,OUTER,73
1.2112929934601417,-1.2112929934601422,12.583939707738143,OUTER,74
1.4678291538834431,0.8474515571189865,12.586393583284547,OUTER,75
-0.4340797503760274,1.6200076829401509,12.58877078501028,OUTER,76
-2.008329879511787,2.008329879511787,12.378336810336044,OUTER,77
-1.659772251014808,2.032634774518882e-16,12.591074460694816,OUTER,78
-2.8703445374696327e-16,-1.5625427889184478,12.603509829916387,OUTER,79
1.5531055314534739,-2.121581610723577,12.42484425162779,OUTER,80
1.4946991174309825,-0.40050342144314494,12.605374709137504,OUTER,81
2.2574891638001207,1.1685623794080706,12.442998217501966,OUTER,82
0.7662987662763736,1.3272683969680268,12.607186236556243,OUTER,83
-1.0734221344544672,1.0734221344544672,12.608946420796878,OUTER,84
-1.302303409302692,-0.751885223927476,12.610657177171937,OUTER,85
0.7117045059216646,-1.2327083642320276,12.61998045897866,OUTER,86
1.362764798646361,0.36515172727085393,12.621392011962921,OUTER,87
1.695337207588163,1.695337207588163,12.47163435581457,OUTER,88
8.563254637210356e-17,1.398485611226425,12.62276665375672,OUTER,89
-1.3927680500472932,1.9025565379439195,12.47920172842375,OUTER,90
-1.3391078046199552,0.358812854826131,12.624105656355123,OUTER,91
-2.025933980758106,-1.0487005966811236,12.493431016503443,OUTER,92
-0.6872074527677982,-1.1902782235338145,12.625410237589968,OUTER,93
